UserId,UserName,CardNumber,Expiration
1,9%Yfpb,5.50E+15,10/1/22
2,Dtu_&2r4;,3.24E+15,10/2/22
3,#xUNyDVJ,7.15E+15,10/3/22
4,cfPniY&1:,3.56E+15,10/4/22
5,7O5tpRscJ,4.39E+15,10/5/31
6,^Zo;i_LA,4.19E+15,10/6/31
7,KzxaG,4.00E+15,10/7/31
8,l6}cQc,3.81E+15,10/8/18
9,shu/vg%,3.62E+15,10/9/18
10,$ouy*,3.43E+15,10/10/18
11,@1AwKG,3.24E+15,10/11/18
12,gre9&,3.05E+15,10/12/18
13,LkNO8,2.86E+15,10/13/18
14,ImukArIh(,2.67E+15,10/14/18
15,FI)sXQ#:O,2.48E+15,10/15/18
16,G6uCUMZ,2.29E+15,10/16/18
17,qd5L9I,2.09E+15,5/2/23
18,${XTwb,1.90E+15,5/3/23
19,;M#X&40,1.71E+15,5/4/30
20,/7zDd/AB,1.52E+15,5/5/30
21,46&T{T,1.33E+15,5/6/30
22,:HC&As#,1.14E+15,5/7/30
23,gglu1,1.90E+15,5/8/30
24,bkQ8^W(z,9.35E+15,5/9/23
25,7;1M1/,1.52E+15,5/10/23
26,2Qg}s,4.57E+15,5/11/23
27,E!_4;,2.34E+15,5/12/23
28,BCdUF,4.09E+15,5/13/23
29,C$3Mt?m*#,4.27E+15,5/14/23
30,{cdm6,4.44E+15,5/15/23
